prolific_pid,condition
69,treatment
83,treatment
100,treatment
143,treatment
66,treatment
15,treatment
146,treatment
86,treatment
133,treatment
158,treatment
38,treatment
147,treatment
2,treatment
68,treatment
57,treatment
7,treatment
160,treatment
156,treatment
60,treatment
102,treatment
77,treatment
123,treatment
25,treatment
165,treatment
33,treatment
73,treatment
67,treatment
71,treatment
23,treatment
21,treatment
97,treatment
150,treatment
43,treatment
101,treatment
8,treatment
163,treatment
89,treatment
90,treatment
4,treatment
120,treatment
50,treatment
154,treatment
114,treatment
161,treatment
22,treatment
98,treatment
26,treatment
118,treatment
164,treatment
13,treatment
61,treatment
52,treatment
117,treatment
65,treatment
56,treatment
40,treatment
159,treatment
91,treatment
14,treatment
105,treatment
108,control
128,control
95,control
32,control
137,control
12,control
155,control
10,control
92,control
19,control
29,control
130,control
82,control
132,control
1,control
135,control
162,control
78,control
79,control
113,control
112,control
125,control
62,control
127,control
119,control
124,control
129,control
30,control
145,control
20,waitlist
5,waitlist
44,waitlist
115,waitlist
42,waitlist
9,waitlist
88,waitlist
134,waitlist
131,waitlist
45,waitlist
140,waitlist
70,waitlist
75,waitlist
116,waitlist
85,waitlist
74,waitlist
109,waitlist
11,waitlist
149,waitlist
144,waitlist
94,waitlist
41,waitlist
53,waitlist
47,waitlist
151,waitlist
111,waitlist
80,waitlist
138,waitlist
51,waitlist
141,waitlist
87,waitlist
104,waitlist
96,waitlist
16,waitlist
55,waitlist
59,waitlist
142,waitlist
81,waitlist
35,waitlist
72,waitlist
110,waitlist
103,waitlist
17,waitlist
139,waitlist
76,waitlist
28,waitlist
99,waitlist
36,waitlist
58,waitlist
153,waitlist
24,waitlist
157,waitlist
46,waitlist
121,waitlist
64,waitlist
27,waitlist
93,waitlist
3,waitlist
34,waitlist
54,waitlist
48,waitlist
122,waitlist
37,waitlist
152,waitlist
136,waitlist
63,waitlist
49,waitlist
84,waitlist
31,waitlist
107,waitlist
6,waitlist
126,waitlist
106,waitlist
